model_name,target,loss,r2,split,extract_layer,base_target,bin_num,bin_method,800_id,400_id,200_id,MAE,MAD,MADMAE
hk_co2_100,hk_co2,0.2511781454086303,0.7558473600701997,1.0,,,,,569,245,104,0.31727621295914765,0.7664751978727791,2.4157978649709553
hk_co2_50,hk_co2,0.2606693506240845,0.7473277511951391,0.5,,,,,566,243,101,0.32866039719214013,0.7664751978727791,2.3321191248505837
hk_co2_30,hk_co2,0.2868418395519256,0.7172479327175016,0.3,,,,,546,229,96,0.34486831236248533,0.7664751978727791,2.2225155817364564
hk_co2_10,hk_co2,0.3414508998394012,0.6724463830164326,0.1,,,,,511,208,83,0.3582466429629001,0.7664751978727791,2.139518158589291
hk_co2_5,hk_co2,0.377505749464035,0.6278746520410283,0.05,,,,,496,202,86,0.39326626653413727,0.7664751978727791,1.948998078649712
hk_co2_3,hk_co2,0.420818418264389,0.6007620441031372,0.03,,,,,500,192,75,0.4197465704745857,0.7664751978727791,1.8260427881665962
hk_co2_1,hk_co2,0.4775066077709198,0.4507048357829388,0.01,,,,,433,165,50,0.476819021828994,0.7664751978727791,1.6074761340953112
hk_h2o_100,hk_h2o,0.1839878857135772,0.8190044315438957,1.0,,,,,649,291,120,1.1335981674990987,2.724305765085555,2.4032376226364365
hk_h2o_50,hk_h2o,0.1925897002220153,0.8099167608528559,0.5,,,,,644,287,119,1.1587688649685322,2.724305765085555,2.3510346605313193
hk_h2o_30,hk_h2o,0.2104019522666931,0.7944597171857256,0.3,,,,,636,281,116,1.199032129909353,2.724305765085555,2.2720873754162976
hk_h2o_10,hk_h2o,0.2394802719354629,0.7639965617701939,0.1,,,,,612,276,106,1.3184235702519662,2.724305765085555,2.0663357562432747
hk_h2o_5,hk_h2o,0.279783546924591,0.7473202561937035,0.05,,,,,613,267,109,1.3568376654629053,2.724305765085555,2.007834713341421
hk_h2o_3,hk_h2o,0.3159983158111572,0.6853750905214891,0.03,,,,,576,252,102,1.4345575106227815,2.724305765085555,1.8990564999397326
hk_h2o_1,hk_h2o,0.3414146602153778,0.6395440780664855,0.01,,,,,556,244,101,1.5690675002161323,2.724305765085555,1.7362578504177122
hk_n2_100,hk_n2,0.0973371490836143,0.9015972081542708,1.0,,,,,709,335,158,0.07853108751658235,0.29849026706545106,3.8009185470966886
hk_n2_50,hk_n2,0.1080822050571441,0.889327624380931,0.5,,,,,702,328,159,0.08632671960129008,0.29849026706545106,3.4576811031863923
hk_n2_30,hk_n2,0.1170375272631645,0.8796213875769094,0.3,,,,,700,319,155,0.08902996602299522,0.29849026706545106,3.3526943836904883
hk_n2_10,hk_n2,0.1297305077314376,0.8667284000404734,0.1,,,,,665,300,132,0.09245002038986423,0.29849026706545106,3.228666319452495
hk_n2_5,hk_n2,0.181823655962944,0.825925042296269,0.05,,,,,628,280,128,0.1097938574233379,0.29849026706545106,2.7186426824821956
hk_n2_3,hk_n2,0.191551849246025,0.8098543576369506,0.03,,,,,626,278,125,0.11616849322542923,0.29849026706545106,2.569459745735186
hk_n2_1,hk_n2,0.2522224485874176,0.7531341322664675,0.01,,,,,603,252,85,0.1334901584660001,0.29849026706545106,2.236046990246674
hk_nh3_100,hk_nh3,0.1770455092191696,0.8231874296866952,1.0,,,,,607,265,116,0.7877074905457461,2.160383469599427,2.7426214623180134
hk_nh3_50,hk_nh3,0.1868713051080703,0.8147486891253118,0.5,,,,,600,260,120,0.8303511744899155,2.160383469599427,2.601770836208608
hk_nh3_30,hk_nh3,0.1964575946331024,0.8010313538993614,0.3,,,,,591,259,111,0.8626405321721108,2.160383469599427,2.5043843745199714
hk_nh3_10,hk_nh3,0.2314375787973404,0.7634598284038806,0.1,,,,,556,243,110,0.9121945475961516,2.160383469599427,2.3683363108149993
hk_nh3_5,hk_nh3,0.2951920926570892,0.7345966313511247,0.05,,,,,558,237,101,1.0042441330194127,2.160383469599427,2.1512532645860776
hk_nh3_3,hk_nh3,0.3437643945217132,0.6574117868696976,0.03,,,,,530,191,78,1.0905323875908572,2.160383469599427,1.9810355879223582
hk_nh3_1,hk_nh3,0.4028432071208954,0.5805914832840088,0.01,,,,,484,208,74,1.2055512944796904,2.160383469599427,1.7920294884937575
hk_co2->hk_h2o_100_extract0,hk_h2o,0.2122418731451034,0.7912099991006682,1.0,0,hk_co2,,,637,288,125,1.2137532865923246,2.724305765085555,2.244530082990906
